Brand,Model,AccelSec,TopSpeed_KmH,Range_Km,Battery_Pack Kwh,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceEuro
MG,ZS EV,8.2,140,220,42.5,193,260,Yes,FWD,Type 2 CCS,SUV,B,5,30000
Mini,Cooper SE,7.3,150,185,28.9,156,260,Yes,FWD,Type 2 CCS,Hatchback,B,4,31681
Opel,Corsa-e,8.1,150,275,45,164,420,Yes,FWD,Type 2 CCS,Hatchback,B,5,29146
Tesla,Model Y Long Range Dual Motor,5.1,217,425,72.5,171,930,Yes,AWD,Type 2 CCS,SUV,D,7,58620
Skoda,Enyaq iV 50,10,160,290,52,179,230,Yes,RWD,Type 2 CCS,SUV,C,5,35000
Audi,e-tron GT,3.5,240,425,85,197,850,Yes,AWD,Type 2 CCS,Sedan,F,4,125000
Tesla,Model 3 Long Range Performance,3.4,261,435,70,167,910,Yes,AWD,Type 2 CCS,Sedan,D,5,61480
Volkswagen,ID.4,7.5,160,420,77,183,560,Yes,RWD,Type 2 CCS,SUV,C,5,45000
Volkswagen,ID.3 Pro,9,160,350,58,166,490,Yes,RWD,Type 2 CCS,Hatchback,C,5,33000
Volvo,XC40 P8 AWD Recharge,4.9,180,375,75,200,470,Yes,AWD,Type 2 CCS,SUV,C,5,60437
BMW,i3 120 Ah,7.3,150,235,37.9,161,270,Yes,RWD,Type 2 CCS,Hatchback,B,4,38017
Peugeot,e-2008 SUV,8.5,150,250,45,180,380,Yes,FWD,Type 2 CCS,SUV,B,5,34361
Audi,e-tron 50 quattro,6.8,190,280,77,231,450,Yes,AWD,Type 2 CCS,SUV,E,5,67358
Kia,e-Niro 64 kWh,7.8,167,370,64,173,350,Yes,FWD,Type 2 CCS,SUV,C,5,38105
Renault,Zoe ZE50 R110,11.4,135,315,52,165,230,Yes,FWD,Type 2 CCS,Hatchback,B,5,31184
Tesla,Cybertruck Tri Motor,3,210,750,200,267,710,Yes,AWD,Type 2 CCS,Pickup,N,6,75000
Mazda,MX-30,9,150,180,30,178,240,Yes,FWD,Type 2 CCS,SUV,C,5,32646
Nissan,Leaf e+,7.3,157,325,56,172,390,Yes,FWD,Type 2 CHAdeMO,Hatchback,C,5,37237
Lexus,UX 300e,7.5,160,270,50,193,190,Yes,FWD,Type 2 CHAdeMO,SUV,C,5,50000
CUPRA,el-Born,6.5,160,425,77,181,570,Yes,RWD,Type 2 CCS,Hatchback,C,4,45000
Renault,Zoe ZE50 R135,9.5,140,310,52,168,230,Yes,FWD,Type 2 CCS,Hatchback,B,5,33133
Mercedes,EQA,5,200,350,66.5,171,440,Yes,AWD,Type 2 CCS,SUV,C,5,45000
Tesla,Model S Long Range,3.8,250,515,90,184,560,Yes,AWD,Type 2,Liftback,F,5,79990
Hyundai,Kona Electric 39 kWh,9.9,155,255,39,154,210,Yes,FWD,Type 2 CCS,SUV,B,5,33971
Audi,e-tron Sportback 55 quattro,5.7,200,380,86.5,228,610,Yes,AWD,Type 2 CCS,SUV,E,5,81639
Skoda,CITIGOe iV,12.3,130,195,36.8,166,170,Yes,FWD,Type 2 CCS,Hatchback,A,4,24534
SEAT,Mii Electric,12.3,130,195,32.3,166,170,Yes,FWD,Type 2 CCS,Hatchback,A,4,20129
Kia,E -Soul 64 kWh,7.9,167,365,64,175,340,Yes,FWD,Type 2 CCS,SUV,B,5,36837
Opel,Ampera-e,7.3,150,335,58,173,210,Yes,FWD,Type 2 CCS,MPV,B,5,41906
Porsche,Taycan 4S,4,250,365,71,195,730,Yes,AWD,Type 2 CCS,Sedan,F,4,102945
Lightyear,One,10,150,575,60,104,540,Yes,AWD,Type 2 CCS,Liftback,F,5,149000
Aiways,U5,9,150,335,63,188,350,Yes,FWD,Type 2 CCS,SUV,C,5,36057
Audi,e-tron 55 quattro,5.7,200,365,86.5,237,590,Yes,AWD,Type 2 CCS,SUV,E,5,79445
Tesla,Roadster,2.1,410,970,200,206,920,Yes,AWD,Type 2 CCS,Cabrio,S,4,215000
Opel,Mokka-e,8.5,150,255,45,176,390,Yes,FWD,Type 2 CCS,SUV,B,5,35000
Skoda,Enyaq iV 80,8.8,160,420,77,183,560,Yes,RWD,Type 2 CCS,SUV,C,5,40000
Tesla,Model X Long Range,4.6,250,450,90,211,490,Yes,AWD,Type 2,SUV,F,7,85990
Honda,e Advance,8.3,145,170,28.5,168,190,Yes,RWD,Type 2 CCS,Hatchback,B,4,35921
DS,3 Crossback E-Tense,8.7,150,250,45,180,380,Yes,FWD,Type 2 CCS,SUV,B,5,37422
Renault,Twingo ZE,12.6,135,130,21.3,164,0,No,RWD,Type 2,Hatchback,A,4,24790
Citroen,e-C4,9.7,150,250,45,180,380,Yes,FWD,Type 2 CCS,SUV,C,5,40000
Tesla,Model S Performance,2.5,261,505,90,188,550,Yes,AWD,Type 2,Liftback,F,5,96990
Renault,Zoe ZE40 R110,11.4,135,255,41,161,230,Yes,FWD,Type 2 CCS,Hatchback,B,5,29234
Tesla,Model Y Long Range Performance,3.7,241,410,72.5,177,900,Yes,AWD,Type 2 CCS,SUV,D,7,65620
Nissan,Ariya 87kWh,7.6,160,440,87,198,520,Yes,FWD,Type 2 CCS,Hatchback,C,5,50000
Jaguar,I-Pace,4.8,200,365,84.7,232,340,Yes,AWD,Type 2 CCS,SUV,E,5,75351
Ford,Mustang Mach-E ER RWD,7,180,450,88,200,430,Yes,RWD,Type 2 CCS,SUV,D,5,54475
Porsche,Taycan 4S Plus,4,250,425,83.7,197,890,Yes,AWD,Type 2 CCS,Sedan,F,4,109302
Nissan,e-NV200 Evalia,14,123,190,38,200,190,Yes,FWD,Type 1 CHAdeMO,SPV,N,7,33246
Tesla,Cybertruck Dual Motor,5,190,460,120,261,710,Yes,AWD,Type 2 CCS,Pickup,N,6,55000
Renault,Kangoo Maxi ZE 33,22.4,130,160,31,194,0,No,FWD,Type 2,SPV,N,5,38000
Ford,Mustang Mach-E ER AWD,6,180,430,88,209,410,Yes,AWD,Type 2 CCS,SUV,D,5,62900
BMW,i3s 120 Ah,6.9,160,230,37.9,165,260,Yes,RWD,Type 2 CCS,Hatchback,B,4,41526
Skoda,Enyaq iV 80X,7,160,400,77,193,540,Yes,AWD,Type 2 CCS,SUV,C,5,45000
Porsche,Taycan Cross Turismo,3.5,250,385,83.7,217,770,Yes,AWD,Type 2 CCS,Station,F,4,150000
Byton,M-Byte 95 kWh 4WD,5.5,190,390,95,244,460,Yes,AWD,Type 2 CCS,SUV,E,5,64000
Sono,Sion,9,140,225,35,156,270,Yes,FWD,Type 2 CCS,Hatchback,C,5,25500
Kia,e-Niro 39 kWh,9.8,155,235,39,167,230,Yes,FWD,Type 2 CCS,SUV,C,5,34400
Audi,Q4 Sportback e-tron,6.3,180,410,77,188,550,Yes,AWD,Type 2 CCS,SUV,D,5,57500
Smart,EQ forfour,12.7,130,95,16.7,176,0,No,RWD,Type 2,Hatchback,A,4,22030
Ford,Mustang Mach-E SR AWD,6,180,340,88,206,360,Yes,AWD,Type 2 CCS,SUV,D,5,54000
Porsche,Taycan Turbo,3.2,260,390,83.7,215,810,Yes,AWD,Type 2 CCS,Sedan,F,4,148301
Volkswagen,ID.3 1st,7.3,160,340,58,171,470,Yes,RWD,Type 2 CCS,Hatchback,C,5,38987
Tesla,Model X Performance,2.8,250,440,90,216,480,Yes,AWD,Type 2,SUV,F,7,102990
Smart,EQ fortwo coupe,11.6,130,100,16.7,167,0,No,RWD,Type 2,Hatchback,A,2,21387
Ford,Mustang Mach-E SR RWD,6.6,180,360,88,194,380,Yes,RWD,Type 2 CCS,SUV,D,5,46900
Mercedes,EQV 300 Long,10,140,330,90,273,290,Yes,FWD,Type 2 CCS,SPV,N,7,70631
Fiat,500e Hatchback,9,150,250,37.3,168,330,Yes,FWD,Type 2 CCS,Hatchback,B,4,34900
Tesla,Cybertruck Single Motor,7,180,390,100,256,740,Yes,RWD,Type 2 CCS,Pickup,N,6,45000
Audi,e- tron Sportback 50 quattro,6.8,190,295,64.7,219,470,Yes,AWD,Type 2 CCS,SUV,E,5,69551
Skoda,Enyaq iV vRS,6.2,180,400,77,193,540,Yes,AWD,Type 2 CCS,SUV,C,5,47500
Skoda,Enyaq iV 60,9,160,320,58,181,440,Yes,RWD,Type 2 CCS,SUV,C,5,37500
Audi,e-tron S 55 quattro,4.5,210,320,86.5,270,510,Yes,AWD,Type 2 CCS,SUV,E,5,93800
Smart,EQ fortwo cabrio,11.9,130,95,16.7,176,0,No,RWD,Type 2,Cabrio,A,2,24565
Nissan,Ariya e-4ORCE 87kWh,5.7,200,420,87,207,500,Yes,AWD,Type 2 CCS,Hatchback,C,5,57500
Fiat,500e Convertible,9,150,250,23.8,168,330,Yes,FWD,Type 2 CCS,Cabrio,B,4,37900
Volkswagen,ID.3 Pro Performance,7.3,160,340,58,171,470,Yes,RWD,Type 2 CCS,Hatchback,C,5,35575
Kia,e-Soul 39 kWh,9.9,157,230,39,170,220,Yes,FWD,Type 2 CCS,SUV,B,5,33133
Byton,M-Byte 72 kWh 2WD,7.5,190,325,72,222,420,Yes,RWD,Type 2 CCS,SUV,E,5,53500
Nissan,Ariya 63kWh,7.5,160,330,63,191,440,Yes,FWD,Type 2 CCS,Hatchback,C,5,45000
Audi,e-tron S Sportback 55 quattro,4.5,210,335,86.5,258,540,Yes,AWD,Type 2 CCS,SUV,E,5,96050
Nissan,Ariya e-4ORCE 63kWh,5.9,200,325,63,194,440,Yes,AWD,Type 2 CCS,Hatchback,C,5,50000
Nissan,Ariya e-4ORCE 87kWh Performance,5.1,200,375,87,232,450,Yes,AWD,Type 2 CCS,Hatchback,C,5,65000
Byton,M-Byte 95 kWh 2WD,7.5,190,400,95,238,480,Yes,AWD,Type 2 CCS,SUV,E,5,62000
